OBJECTID,STATION_ID,ASSET_ID,NAME,LONGNAME,LINES,BRANCH_ID,STATUS,MILEPOST,FAREZONE,ADA,ADA2,PKNRD,BIKEPKNG,TICKET_AVA,ADDRESS,MUNICIPALI,TELEPHONE,WEBLINK,LABELANGLE,EDIT_INIT,EDIT_DATE,YEAR_OPEN,X,Y,xcoord,ycoord
138,0.00000,0.00000,Elburn,Elburn,UP-W,11,1,0.00000,I,0,,0,0,,43 W 166 Keslinger Rd,Elburn,,,0,af,2011/04/28,,,,-88.46412,41.89073
139,0.00000,0.00000,Manhattan,Manhattan,SWS,8,1,0.00000,I,0,,0,0,,15601 W Sweedler Rd,Manhattan,,,0,af,2011/04/28,,,,-87.98871,41.41894
140,12095.00000,51212095.00000,Mont Clare,Mont Clare,Milw-W,12,1,9.50000,B,0,A,1,0,,7007 W. Medill St.,Chicago,,,30,ks,1995/08/02,,,,-87.80115,41.92164
141,12102.00000,51212102.00000,Elmwood Park,Elmwood Park,Milw-W,12,1,10.20000,C,0,A,1,11,,7600 W. Grand Ave.,Elmwood Park,,,30,ks,1995/08/02,,,,-87.81478,41.92494
142,12114.00000,51212114.00000,River Grove,River Grove,"Milw-W, NCS",12,1,11.40000,C,0,A,1,0,,8421 Arnold Ave.,River Grove,,,30,ks,1995/09/14,,,,-87.83632,41.93100
143,12132.00000,51212132.00000,Franklin Park,Franklin Park,Milw-W,12,1,13.20000,C,0,A,1,11,,3148 Rose St.,Franklin Park,,,30,ks,1995/08/02,,,,-87.86659,41.93653
144,12140.00000,51212140.00000,Mannheim,Mannheim,Milw-W,12,1,14.00000,C,1,N,1,0,,Front St. and Lincoln St.,Franklin Park,,,30,ks,1995/08/02,,,,-87.88334,41.94151
145,12172.00000,51212172.00000,Bensenville,Bensenville,Milw-W,12,1,17.20000,D,0,A,1,21,,110 W. Main St.,Bensenville,,,30,ks,1995/08/02,,,,-87.94182,41.95700
146,12191.00000,51212191.00000,Wood Dale,Wood Dale,Milw-W,12,1,19.10000,D,0,A,1,5,,301 W. Wood Dale Ave.,Wood Dale,,,30,ks,1995/08/02,,,,-87.97487,41.96237
147,12210.00000,51212210.00000,Itasca,Itasca,Milw-W,12,1,21.10000,E,0,A,1,18,,Irving Park Rd. (Rt. 19) and Maple St.,Itasca,,,30,ks,1995/08/02,,,,-88.01392,41.97163
148,12230.00000,51212230.00000,Medinah,Medinah,Milw-W,12,1,23.00000,E,0,M,1,10,,"Medinah Rd., 1 block N. of Irving Park Rd.",,,,30,ks,1995/08/02,,,,-88.05093,41.97832
149,12239.00000,51212239.00000,Roselle,Roselle,Milw-W,12,1,23.90000,E,0,A,1,10,,540 Irving Park Rd.,Roselle,,,30,ks,1995/08/02,,,,-88.06707,41.98158
150,12265.00000,51212265.00000,Schaumburg,Schaumburg,Milw-W,12,1,26.50000,F,0,A,1,62,,2000 S. Springinsguth Rd.,Schaumburg,,,30,ks,1995/08/02,,,,-88.11835,41.98923
151,12284.00000,51212284.00000,Hanover Park,Hanover Park,Milw-W,12,1,28.40000,F,0,A,1,31,,Ontarioville Rd. and Route 20,Hanover Park,,,30,ks,1995/08/02,,,,-88.14928,41.98813
152,12301.00000,51212301.00000,Bartlett,Bartlett,Milw-W,12,1,30.10000,F,0,M,1,0,,Oak Ave. and Railroad Ave.,Bartlett,,,30,ks,1995/08/02,,,,-88.18628,41.99258
153,12360.00000,51212360.00000,National St.,National Street,Milw-W,12,1,36.00000,H,0,N,1,0,,85 National St.,Elgin,,,0,ks,1995/09/14,,,,-88.27997,42.02913
154,12366.00000,51212366.00000,Elgin,Elgin,Milw-W,12,1,36.60000,H,0,M,1,0,,109 W. Chicago St.,Elgin,,,0,ks,1995/08/02,,,,-88.28617,42.03626
155,12398.00000,51212398.00000,Big Timber,Big Timber Road,Milw-W,12,1,39.80000,H,0,M,1,0,,2025 Big Timber Rd.,Elgin,,,180,ks,1995/08/02,,,,-88.32843,42.05867
156,13000.00000,51213000.00000,Ogilvie,Ogilvie Transportation Center,"UP-N, UP-NW, UP-W",13,1,0.00000,A,0,A,0,0,,Madison St. and Canal St.,Chicago,,,180,ks,1995/08/02,,,,-87.64077,41.88305
